Null display is "<null>".
     rental_date     |         title         
---------------------+-----------------------
 2005-08-23 18:43:31 | OCTOBER SUBMARINE
 2005-08-22 09:10:21 | PRIDE ALAMO
 2005-08-21 08:40:56 | FUGITIVE MAGUIRE
 2005-08-20 12:53:46 | BRIGHT ENCOUNTERS
 2005-08-19 10:06:53 | REDEMPTION COMFORTS
 2005-08-19 09:42:01 | SPOILERS HELLFIGHTERS
 2005-08-17 07:56:22 | GO PURPLE
 2005-08-02 15:44:55 | GOODFELLAS SALUTE
 2005-08-01 14:36:26 | CHRISTMAS MOONSHINE
 2005-07-29 18:12:49 | DAY UNFAITHFUL
 2005-07-29 15:28:24 | ROXANNE REBEL
 2005-07-27 19:05:40 | BORROWERS BEDAZZLED
 2005-07-10 22:04:19 | JOON NORTHWEST
 2005-07-10 00:01:50 | DRIFTER COMMANDMENTS
 2005-07-08 08:12:17 | FROGMEN BREAKING
 2005-07-06 21:15:45 | HORROR REIGN
 2005-06-21 14:05:23 | ANNIE IDENTITY
 2005-06-20 19:03:22 | MASSACRE USUAL
 2005-06-19 21:11:30 | HYDE DOCTOR
 2005-06-17 00:13:19 | MAIDEN HOME
 2005-06-16 18:54:48 | MAJESTIC FLOATS
 2005-06-15 23:57:20 | RULES HUMAN
 2005-06-15 10:34:26 | MUMMY CREATURES
(23 rows)

 store_id |   Manager    |            email             
----------+--------------+------------------------------
        1 | Mike Hillyer | Mike.Hillyer@sakilastaff.com
        2 | Jon Stephens | Jon.Stephens@sakilastaff.com
(2 rows)

 film_id |       title        | count 
---------+--------------------+-------
     103 | BUCKET BROTHERHOOD |    34
     738 | ROCKETEER MOTHER   |    33
     382 | GRIT CLOCKWORK     |    32
(3 rows)

 customer_id | num_films | count 
-------------+-----------+-------
           1 |        30 |   108
           2 |        27 |   118
           3 |        26 |   103
           4 |        22 |    89
           5 |        38 |   119
           6 |        26 |   110
           7 |        32 |   117
           8 |        23 |   109
           9 |        23 |    98
          10 |        25 |    96
          11 |        24 |    97
          12 |        27 |   109
          13 |        27 |   109
          14 |        28 |   113
          15 |        30 |   119
          16 |        28 |   107
          17 |        21 |    84
          18 |        21 |    81
          19 |        23 |   101
          20 |        30 |   107
          21 |        33 |   115
          22 |        22 |    93
          23 |        29 |   104
          24 |        25 |    92
          25 |        29 |   108
          26 |        34 |   128
          27 |        30 |   116
          28 |        32 |   119
          29 |        36 |   135
          30 |        31 |   122
          31 |        26 |   102
          32 |        29 |    97
          33 |        21 |    98
          34 |        24 |   108
          35 |        32 |   133
          36 |        26 |    92
          37 |        23 |    98
          38 |        33 |   110
          39 |        28 |   104
          40 |        26 |   103
          41 |        25 |   105
          42 |        28 |   113
          43 |        23 |   100
          44 |        26 |    96
          45 |        27 |   102
          46 |        33 |   119
          47 |        20 |    87
          48 |        17 |    80
          49 |        28 |   121
          50 |        35 |   124
          51 |        33 |   127
          52 |        29 |   112
          53 |        30 |   108
          54 |        28 |    97
          55 |        21 |    88
          56 |        29 |   104
          57 |        28 |   102
          58 |        26 |   103
          59 |        26 |   112
          60 |        25 |    99
          61 |        14 |    62
          62 |        23 |    93
          63 |        25 |    97
          64 |        32 |   120
          65 |        22 |    95
          66 |        34 |   124
          67 |        22 |    91
          68 |        22 |    87
          69 |        25 |    94
          70 |        17 |    84
          71 |        30 |   121
          72 |        28 |   110
          73 |        23 |    87
          74 |        25 |   101
          75 |        41 |   131
          76 |        23 |    97
          77 |        28 |    99
          78 |        31 |   108
          79 |        22 |    95
          80 |        29 |   100
          81 |        22 |   100
          82 |        26 |    99
          83 |        25 |   110
          84 |        32 |   129
          85 |        23 |    90
          86 |        32 |   114
          87 |        29 |   112
          88 |        21 |    78
          89 |        32 |   117
          90 |        27 |   102
          91 |        35 |   120
          92 |        28 |   107
          93 |        23 |    93
          94 |        20 |    84
          95 |        17 |    77
          96 |        26 |   113
          97 |        18 |    94
          98 |        25 |   104
          99 |        23 |    99
         100 |        24 |   103
         101 |        24 |    96
         102 |        32 |   123
         103 |        31 |   110
         104 |        24 |   106
         105 |        26 |   117
         106 |        23 |   107
         107 |        30 |   114
         108 |        29 |   106
         109 |        26 |   107
         110 |        14 |    59
         111 |        25 |    94
         112 |        30 |    99
         113 |        28 |   122
         114 |        32 |   123
         115 |        30 |   127
         116 |        27 |    99
         117 |        18 |    66
         118 |        20 |    87
         119 |        32 |   128
         120 |        32 |   109
         121 |        26 |   105
         122 |        27 |   107
         123 |        24 |    99
         124 |        17 |    69
         125 |        32 |   104
         126 |        28 |   108
         127 |        24 |    97
         128 |        32 |   113
         129 |        33 |   112
         130 |        24 |    82
         131 |        30 |   116
         132 |        27 |    98
         133 |        27 |   101
         134 |        22 |    90
         135 |        30 |   114
         136 |        15 |    62
         137 |        38 |   124
         138 |        34 |   119
         139 |        27 |    95
         140 |        18 |    71
         141 |        32 |   122
         142 |        25 |   109
         143 |        22 |    93
         144 |        42 |   145
         145 |        28 |   106
         146 |        29 |   111
         147 |        34 |   113
         148 |        46 |   149
         149 |        26 |   102
         150 |        25 |    96
         151 |        27 |   107
         152 |        21 |    89
         153 |        24 |    92
         154 |        30 |   110
         155 |        25 |    92
         156 |        25 |    91
         157 |        31 |   124
         158 |        31 |   121
         159 |        21 |    79
         160 |        26 |   105
         161 |        30 |   109
         162 |        20 |    81
         163 |        28 |   114
         164 |        16 |    82
         165 |        21 |    94
         166 |        28 |   115
         167 |        31 |   112
         168 |        34 |   118
         169 |        21 |   105
         170 |        26 |    98
         171 |        25 |   101
         172 |        33 |   111
         173 |        28 |    92
         174 |        21 |    92
         175 |        24 |    98
         176 |        37 |   131
         177 |        22 |    91
         178 |        38 |   133
         179 |        29 |   101
         180 |        23 |   102
         181 |        32 |   117
         182 |        25 |   104
         183 |        23 |    90
         184 |        23 |    95
         185 |        23 |    98
         186 |        30 |   116
         187 |        28 |   104
         188 |        24 |    91
         189 |        22 |    99
         190 |        26 |    97
         191 |        20 |    94
         192 |        23 |    93
         193 |        24 |   109
         194 |        18 |    76
         195 |        19 |    84
         196 |        34 |   119
         197 |        40 |   146
         198 |        35 |   118
         199 |        25 |    89
         200 |        27 |   103
         201 |        25 |   109
         202 |        26 |   102
         203 |        20 |    88
         204 |        35 |   131
         205 |        17 |    76
         206 |        26 |   106
         207 |        34 |   126
         208 |        24 |   104
         209 |        31 |   116
         210 |        30 |   110
         211 |        33 |   118
         212 |        20 |    89
         213 |        28 |   115
         214 |        30 |   125
         215 |        25 |    94
         216 |        23 |    89
         217 |        23 |    91
         218 |        18 |    86
         219 |        26 |    99
         220 |        26 |   100
         221 |        28 |   109
         222 |        21 |    90
         223 |        17 |    84
         224 |        22 |    91
         225 |        26 |   108
         226 |        20 |    90
         227 |        24 |   101
         228 |        27 |    92
         229 |        25 |    94
         230 |        33 |   113
         231 |        26 |    99
         232 |        25 |   105
         233 |        23 |    95
         234 |        25 |   107
         235 |        25 |    94
         236 |        42 |   140
         237 |        31 |   106
         238 |        21 |    91
         239 |        34 |   126
         240 |        25 |   102
         241 |        34 |   114
         242 |        31 |   115
         243 |        24 |   104
         244 |        31 |   118
         245 |        30 |   119
         246 |        22 |    95
         247 |        22 |   102
         248 |        15 |    84
         249 |        22 |    96
         250 |        20 |    85
         251 |        29 |   112
         252 |        22 |    92
         253 |        29 |   123
         254 |        32 |   127
         255 |        18 |    72
         256 |        28 |   109
         257 |        37 |   132
         258 |        24 |    96
         259 |        31 |   120
         260 |        30 |   105
         261 |        26 |   106
         262 |        27 |    86
         263 |        29 |   107
         264 |        25 |   107
         265 |        29 |   115
         266 |        28 |   111
         267 |        36 |   125
         268 |        29 |   118
         269 |        29 |   119
         270 |        24 |   106
         271 |        18 |    80
         272 |        20 |    83
         273 |        34 |   125
         274 |        34 |   121
         275 |        30 |   110
         276 |        27 |   114
         277 |        32 |   110
         278 |        25 |    92
         279 |        31 |   122
         280 |        26 |   103
         281 |        14 |    64
         282 |        27 |   107
         283 |        28 |   102
         284 |        28 |   111
         285 |        26 |   108
         286 |        27 |   105
         287 |        28 |    95
         288 |        24 |    98
         289 |        30 |    99
         290 |        28 |   110
         291 |        23 |    88
         292 |        27 |   109
         293 |        30 |   111
         294 |        26 |   113
         295 |        38 |   123
         296 |        29 |   118
         297 |        33 |   110
         298 |        24 |    93
         299 |        30 |   112
         300 |        31 |   113
         301 |        21 |    89
         302 |        28 |   101
         303 |        26 |   107
         304 |        26 |    93
         305 |        24 |   101
         306 |        32 |   105
         307 |        30 |   101
         308 |        25 |    94
         309 |        31 |   116
         310 |        19 |    83
         311 |        23 |    79
         312 |        26 |   106
         313 |        22 |    91
         314 |        30 |   125
         315 |        17 |    74
         316 |        28 |   108
         317 |        26 |    94
         318 |        12 |    52
         319 |        29 |   105
         320 |        20 |    88
         321 |        21 |    94
         322 |        26 |   100
         323 |        30 |   112
         324 |        25 |    99
         325 |        21 |    92
         326 |        25 |   100
         327 |        26 |    94
         328 |        23 |    88
         329 |        32 |   126
         330 |        25 |    98
         331 |        27 |   117
         332 |        26 |    99
         333 |        27 |    96
         334 |        28 |   108
         335 |        22 |    91
         336 |        30 |   123
         337 |        29 |   118
         338 |        28 |   111
         339 |        30 |   115
         340 |        31 |   119
         341 |        23 |   104
         342 |        31 |   127
         343 |        25 |    97
         344 |        18 |    89
         345 |        23 |   100
         346 |        32 |   113
         347 |        30 |   102
         348 |        34 |   129
         349 |        28 |   119
         350 |        23 |    96
         351 |        24 |    96
         352 |        23 |   100
         353 |        18 |    70
         354 |        36 |   128
         355 |        20 |    82
         356 |        29 |   107
         357 |        26 |    97
         358 |        20 |    87
         359 |        25 |   107
         360 |        34 |   119
         361 |        31 |   121
         362 |        32 |   112
         363 |        29 |   111
         364 |        23 |    88
         365 |        23 |   101
         366 |        34 |   120
         367 |        22 |   100
         368 |        34 |   121
         369 |        25 |   107
         370 |        19 |    84
         371 |        33 |   118
         372 |        33 |   107
         373 |        34 |   120
         374 |        28 |    96
         375 |        22 |    83
         376 |        26 |   108
         377 |        26 |   117
         378 |        19 |    78
         379 |        22 |    97
         380 |        35 |   123
         381 |        34 |   119
         382 |        24 |   114
         383 |        27 |   115
         384 |        23 |    96
         385 |        26 |   106
         386 |        28 |    94
         387 |        26 |   107
         388 |        30 |   111
         389 |        26 |    93
         390 |        33 |   123
         391 |        29 |   104
         392 |        23 |    90
         393 |        31 |   122
         394 |        22 |    87
         395 |        19 |    84
         396 |        27 |   103
         397 |        29 |   103
         398 |        16 |    67
         399 |        21 |    83
         400 |        28 |   103
         401 |        21 |   102
         402 |        20 |    92
         403 |        34 |   119
         404 |        30 |   113
         405 |        30 |   108
         406 |        32 |   116
         407 |        26 |   109
         408 |        29 |   111
         409 |        22 |    96
         410 |        37 |   129
         411 |        26 |   115
         412 |        20 |    73
         413 |        21 |    83
